,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,用水类型,用电类型,燃气价格,卧室数,客厅数,卫生间数,楼层位置,总层数,得房率,是否有抵押,抵押金额,是否地铁,临近地铁站,是否电梯,产权类型
56,君景庭,滨江区,浦沿,近地铁6号线(杭富线)中医药大学站,293,34675,2023-10-05,商品房,2018-01-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,2室2厅1厨1卫,低楼层(共25层),84.5,平层,69.42,板楼,南,钢混结构,精装,两梯三户,有,nan,nan,nan,nan,2,2,1,1,25,0.8215384615384616,0,0.0,1,中医药大学站,1.0,0
57,水印城,滨江区,长河,近地铁6号线(杭富线)长河站,388,37485,2025-03-15,商品房,2015-07-28,普通住宅,满五年,共有,有抵押80万元,已上传房本照片,2室1厅1厨1卫,中楼层(共32层),103.51,平层,76.9,塔楼,东北,钢混结构,精装,两梯六户,有,nan,nan,nan,nan,2,1,1,2,32,0.7429233890445368,1,80.0,1,长河站,1.0,1
58,旭江华庭,滨江区,奥体,近地铁6号线奥体中心站,200,33373,2023-06-13,商品房,2018-06-06,商住两用,满五年,非共有,有抵押,已上传房本照片,1室1厅1厨1卫,中楼层(共26层),59.93,nan,69.42,塔楼,南,钢混结构,精装,五梯十七户,有,nan,商水,商电,3.1元/m3,1,1,1,2,26,1.158351409978308,1,0.0,1,奥体中心站,1.0,0
59,绿城明月江南,滨江区,滨江区政府,近地铁6号线(杭富线)星民站,450,51148,2024-09-12,商品房,2016-07-06,普通住宅,满五年,非共有,无抵押,已上传房本照片,2室1厅1厨1卫,高楼层(共30层),87.98,平层,69.42,板楼,南,混合结构,精装,两梯两户,有,nan,nan,nan,nan,2,1,1,3,30,0.7890429643100705,0,0.0,1,星民站,1.0,0
60,傲旋城,滨江区,长河,nan,200,25372,2025-02-19,商品房,2024-12-26,普通住宅,未满两年,非共有,无抵押,已上传房本照片,2室2厅1厨2卫,低楼层(共66层),78.83,平层,69.42,塔楼,南,混合结构,其他,四梯十三户,有,nan,nan,nan,nan,2,2,2,1,66,0.8806292020804263,0,0.0,0,0,1.0,0
61,倾城之恋,滨江区,滨江区政府,近地铁6号线(杭富线)江汉路站,480,43455,2025-03-31,商品房,2016-05-13,普通住宅,满五年,共有,有抵押,已上传房本照片,2室2厅1厨1卫,低楼层(共29层),110.46,平层,82.67,塔楼,南,钢混结构,其他,两梯三户,有,nan,nan,nan,nan,2,2,1,1,29,0.7484157160963245,1,0.0,1,江汉路站,1.0,1
62,傲旋城,滨江区,长河,nan,690,42159,2024-10-11,商品房,2024-10-10,普通住宅,未满两年,共有,有抵押,已上传房本照片,2室1厅1厨2卫,中楼层(共66层),163.67,平层,69.42,塔楼,南,混合结构,毛坯,四梯四户,有,nan,nan,nan,nan,2,1,2,2,66,0.4241461477362987,1,0.0,0,0,1.0,1
63,中兴和园,滨江区,彩虹城,nan,228,26277,2024-07-07,商品房,2011-05-09,普通住宅,满五年,非共有,有抵押30万元,已上传房本照片,2室2厅1厨1卫,低楼层(共11层),86.77,平层,69.42,板楼,南,钢混结构,精装,两梯两户,有,nan,nan,nan,nan,2,2,1,1,11,0.8000460988821022,1,30.0,0,0,1.0,0
64,星汇荣邸,滨江区,浦沿,近地铁4号线杨家墩站,305,34278,2024-11-06,商品房,2016-10-18,普通住宅,满五年,共有,有抵押,已上传房本照片,2室2厅1厨1卫,中楼层(共30层),88.98,平层,69.42,板塔结合,南北,钢混结构,简装,两梯四户,有,nan,nan,nan,nan,2,2,1,2,30,0.7801753202966959,1,0.0,1,杨家墩站,1.0,1
65,中赢康康谷,滨江区,滨江区政府,近1号线(萧山国际机场-湘湖)滨和路站,100,22198,2024-04-07,商品房,2018-05-09,商住两用,满五年,非共有,无抵押,已上传房本照片,2室1厅1厨2卫,中楼层(共19层),45.05,nan,69.42,板楼,东北,钢混结构,精装,两梯三十一户,有,nan,民水,民电,3.1元/m3,2,1,2,2,19,1.5409544950055496,0,0.0,0,0,1.0,0
66,钱江湾花园,滨江区,浦沿,nan,440,37987,2023-03-20,商品房,2009-07-07,普通住宅,满五年,共有,有抵押,已上传房本照片,2室2厅1厨1卫,高楼层(共10层),115.83,平层,98.38,板楼,南北,钢混结构,精装,一梯两户,有,nan,nan,nan,nan,2,2,1,3,10,0.849348182681516,1,0.0,0,0,1.0,1
67,寰宇天下D区,滨江区,滨江区政府,nan,436,49597,2024-02-19,商品房,2014-06-17,普通住宅,满五年,共有,无抵押,已上传房本照片,2室2厅1厨2卫,高楼层(共30层),87.91,平层,66.9,板楼,南,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,2,2,2,3,30,0.7610055738823798,0,0.0,0,0,1.0,1
